x, y
0.8954454165440949, 39.8387457505815
1.073110852045949, 37.0048309178744
1.2438033186973623, 34.35632492395778
1.4127525431361654, 31.45933977455717
1.7261003308528449, 28.346305242440508
2.0144616468554455, 25.878735015208445
2.338849968585323, 23.657631061012705
2.8955253151455063, 20.453569511540525
3.4947648257302553, 17.764582215065307
4.139764444396021, 15.619520486670245
5.18, 13.097155126140635
5.18, 36.097020933977454
5.2, 23.637278582930758
6.138536911337975, 22.456611200572553
7.602424559377372, 21.186482376095903
8.709383364384836, 20.47526391125425
9.43, 20.301037752728575
9.43, 23.056673823582038
9.45, 21.542986222937916
10.37534183890263, 21.18335122562176
11.289236568863515, 20.86307926283772
13.146080065662124, 20.28918411164788
15.106646474111038, 19.84903381642512
17.439395094952225, 19.48626766863482
19.618447860714948, 19.128198246555737
22.33776044220244, 18.83409375559134
25.753643557812087, 18.572195383789587
28.773229610421684, 18.39707461084273
32.15482896251666, 18.20227232062981
35.62576947800791, 18.05018786902845
37.9612782323524, 17.99382716049383
39.99840202797177, 17.890275541241724
